"BFS_NUMMER","Total number of pictures by municipality","Total number of picture' views by municipality","Average number of picture' views by municipality","Total number of favorited pictures by municipality","Average number of favorited pictures by municipality","Habitants","Densité de la population par km²","total number of favorited / total number of pics by municipality","total number of views / total number of pics by municipality","Total pictures by capita & by municipality","Total picture views by capita & by municipality","Average #views by capita and by municipality","Total favorited pictures by capita & by municipality","Average favorited pictures by capita & by municipality"
861,30,929,30.9666666666667,25,0.833333333333333,11346,487,0.833333333333333,30.9666666666667,0.00264410364886304,0.0818790763264587,0.00272930254421529,0.00220341970738586,7.34473235795288e-05
863,4,33644,8411,1471,367.75,1019,135,367.75,8411,0.00392541707556428,33.0166830225712,8.25417075564279,1.44357212953876,0.360893032384691
866,1,14,14,0,0,1179,151,0,14,0.000848176420695505,0.0118744698897371,0.0118744698897371,0,0
870,1,1348,1348,0,0,4164,938,0,1348,0.000240153698366955,0.323727185398655,0.323727185398655,0,0
872,1,1476,1476,20,20,868,142,20,1476,0.00115207373271889,1.70046082949309,1.70046082949309,0.0230414746543779,0.0230414746543779
873,2,32,16,0,0,275,220,0,16,0.00727272727272727,0.116363636363636,0.0581818181818182,0,0
879,4,71,17.75,0,0,2438,82,0,17.75,0.00164068908941756,0.0291222313371616,0.0072805578342904,0,0
880,3,53,17.6666666666667,0,0,1831,51,0,17.6666666666667,0.00163844893500819,0.0289459311851447,0.00964864372838158,0,0
883,1,32,32,0,0,2221,571,0,32,0.00045024763619991,0.0144079243583971,0.0144079243583971,0,0
886,2,179,89.5,3,1.5,2765,190,1.5,89.5,0.000723327305605787,0.0647377938517179,0.032368896925859,0.00108499095840868,0.00054249547920434
901,2,86,43,0,0,2433,40,0,43,0.00082203041512536,0.0353473078503905,0.0176736539251952,0,0
902,2,2754,1377,15,7.5,9103,188,7.5,1377,0.000219707788641107,0.302537624958805,0.151268812479402,0.0016478084148083,0.000823904207404152
904,14,474,33.8571428571429,4,0.285714285714286,1240,34,0.285714285714286,33.8571428571429,0.0112903225806452,0.382258064516129,0.0273041474654378,0.0032258064516129,0.000230414746543779
906,3,3665,1221.66666666667,47,15.6666666666667,886,24,15.6666666666667,1221.66666666667,0.00338600451467269,4.13656884875846,1.37885628291949,0.0530474040632054,0.0176824680210685
908,16,45,2.8125,0,0,1344,22,0,2.8125,0.0119047619047619,0.0334821428571429,0.00209263392857143,0,0
923,1,1735,1735,87,87,1544,101,87,1735,0.000647668393782383,1.12370466321244,1.12370466321244,0.0563471502590674,0.0563471502590674
927,2,147,73.5,2,1,693,125,1,73.5,0.00288600288600289,0.212121212121212,0.106060606060606,0.00288600288600289,0.00144300144300144
929,3,2771,923.666666666667,87,29,4058,1439,29,923.666666666667,0.000739280433711188,0.6828486939379,0.227616231312633,0.0214391325776244,0.00714637752587481
931,1,21215,21215,1067,1067,510,78,1067,21215,0.00196078431372549,41.5980392156863,41.5980392156863,2.0921568627451,2.0921568627451
932,1,2879,2879,211,211,251,12,211,2879,0.00398406374501992,11.4701195219124,11.4701195219124,0.840637450199203,0.840637450199203
934,4,1857,464.25,80,20,2389,878,20,464.25,0.00167434072833822,0.777312683131017,0.194328170782754,0.0334868145667643,0.00837170364169108
938,5,4195,839,38,7.6,4676,84,7.6,839,0.00106928999144568,0.897134302822926,0.179426860564585,0.00812660393498717,0.00162532078699743
939,1,918,918,14,14,15585,1167,14,918,6.41642605068977e-05,0.058902791145332,0.058902791145332,0.000898299647096567,0.000898299647096567
941,1,98,98,0,0,2460,327,0,98,0.00040650406504065,0.0398373983739837,0.0398373983739837,0,0
942,44,88005,2000.11363636364,2560,58.1818181818182,42929,1989,58.1818181818182,2000.11363636364,0.00102494817023457,2.05001281185213,0.0465912002693665,0.0596333480863752,0.00135530336559944
944,1,146,146,8,8,5967,588,8,146,0.000167588402882521,0.024467906820848,0.024467906820848,0.00134070722306016,0.00134070722306016
946,1,60,60,1,1,237,67,1,60,0.00421940928270042,0.253164556962025,0.253164556962025,0.00421940928270042,0.00421940928270042
952,2,859,429.5,31,15.5,1066,75,15.5,429.5,0.00187617260787992,0.805816135084428,0.402908067542214,0.0290806754221388,0.0145403377110694
954,10,38,3.8,0,0,4702,273,0,3.8,0.00212675457252233,0.00808166737558486,0.000808166737558486,0,0
956,13,3661,281.615384615385,106,8.15384615384615,3127,207,8.15384615384615,281.615384615385,0.00415733930284618,1.17077070674768,0.090059285134437,0.0338983050847458,0.00260756192959583
981,40,685,17.125,2,0.05,4371,252,0.05,17.125,0.00915122397620682,0.156714710592542,0.00391786776481354,0.000457561198810341,1.14390299702585e-05
989,75,4805,64.0666666666667,41,0.546666666666667,1046,231,0.546666666666667,64.0666666666667,0.0717017208413002,4.59369024856597,0.0612492033142129,0.0391969407265774,0.000522625876354366
1002,1,12,12,0,0,3290,58,0,12,0.000303951367781155,0.00364741641337386,0.00364741641337386,0,0
1004,24,557,23.2083333333333,1,0.0416666666666667,1874,17,0.0416666666666667,23.2083333333333,0.0128068303094984,0.297225186766275,0.0123843827819281,0.000533617929562433,2.22340803984347e-05
1005,1,1080,1080,121,121,1732,43,121,1080,0.000577367205542725,0.623556581986143,0.623556581986143,0.0698614318706697,0.0698614318706697
1024,1,179,179,0,0,28926,1423,0,179,3.45709742100532e-05,0.00618820438359953,0.00618820438359953,0,0
1031,2,49,24.5,0,0,9101,946,0,24.5,0.000219756070761455,0.00538402373365564,0.00269201186682782,0,0
1032,3,62,20.6666666666667,0,0,2490,107,0,20.6666666666667,0.00120481927710843,0.0248995983935743,0.00829986613119143,0,0
1051,1,130,130,2,2,5399,772,2,130,0.000185219485089831,0.0240785330616781,0.0240785330616781,0.000370438970179663,0.000370438970179663
1054,4,111,27.75,0,0,12602,1302,0,27.75,0.000317409934930963,0.00880812569433423,0.00220203142358356,0,0
1056,1,580,580,12,12,1043,314,12,580,0.000958772770853308,0.556088207094918,0.556088207094918,0.0115052732502397,0.0115052732502397
1058,16,363,22.6875,1,0.0625,13790,1074,0.0625,22.6875,0.00116026105873822,0.0263234227701233,0.0016452139231327,7.25163161711385e-05,4.53226976069616e-06
1059,4,1151,287.75,60,15,26957,986,15,287.75,0.000148384464146604,0.0426976295581853,0.0106744073895463,0.00222576696219906,0.000556441740549764
1061,503,121868,242.282306163022,3293,6.54671968190855,80501,2770,6.54671968190855,242.282306163022,0.00624836958547099,1.5138693929268,0.00300968070164373,0.0409063241450417,8.13247000895461e-05
1062,22,201,9.13636363636364,0,0,6911,241,0,9.13636363636364,0.003183330921719,0.0290840688757054,0.00132200313071388,0,0
1063,3,490,163.333333333333,13,4.33333333333333,6762,929,4.33333333333333,163.333333333333,0.000443655723158829,0.072463768115942,0.0241545893719807,0.00192250813368826,0.000640836044562753
1064,3,94,31.3333333333333,1,0.333333333333333,1374,202,0.333333333333333,31.3333333333333,0.00218340611353712,0.0684133915574964,0.0228044638524988,0.000727802037845706,0.000242600679281902
1065,1,41,41,0,0,4669,539,0,41,0.000214178624973228,0.00878132362390233,0.00878132362390233,0,0
1067,1,633,633,13,13,2174,349,13,633,0.000459981600735971,0.291168353265869,0.291168353265869,0.00597976080956762,0.00597976080956762
1068,9,1506,167.333333333333,37,4.11111111111111,1249,140,4.11111111111111,167.333333333333,0.00720576461168935,1.20576461168935,0.133973845743261,0.0296236989591673,0.00329152210657415
1069,15,674,44.9333333333333,19,1.26666666666667,4242,359,1.26666666666667,44.9333333333333,0.00353606789250354,0.158887317303159,0.0105924878202106,0.00447901933050448,0.000298601288700299
1081,1,343,343,5,5,6112,145,5,343,0.000163612565445026,0.056119109947644,0.056119109947644,0.000818062827225131,0.000818062827225131
1083,2,20,10,0,0,3307,198,0,10,0.000604777744179014,0.00604777744179014,0.00302388872089507,0,0
1086,1,169,169,1,1,3097,157,1,169,0.000322893122376493,0.0545689376816274,0.0545689376816274,0.000322893122376493,0.000322893122376493
1091,2,31,15.5,1,0.5,1156,161,0.5,15.5,0.00173010380622837,0.0268166089965398,0.0134083044982699,0.000865051903114187,0.000432525951557093
1093,2,166,83,0,0,6391,251,0,83,0.000312940071976217,0.025974025974026,0.012987012987013,0,0
1100,1,38,38,2,2,778,109,2,38,0.0012853470437018,0.0488431876606684,0.0488431876606684,0.0025706940874036,0.0025706940874036
1102,116,26420,227.758620689655,1,0.00862068965517241,4149,466,0.00862068965517241,227.758620689655,0.0279585442275247,6.36779946975175,0.0548948230151013,0.000241021932995903,2.07777528444744e-06
1103,1,89,89,0,0,9160,1563,0,89,0.000109170305676856,0.00971615720524018,0.00971615720524018,0,0
1122,12,7121,593.416666666667,165,13.75,979,145,13.75,593.416666666667,0.0122574055158325,7.27374872318693,0.606145726932244,0.168539325842697,0.0140449438202247
1136,3,56,18.6666666666667,1,0.333333333333333,2892,95,0.333333333333333,18.6666666666667,0.00103734439834025,0.0193637621023513,0.00645458736745044,0.000345781466113416,0.000115260488704472
1151,1,1184,1184,0,0,7554,184,0,1184,0.00013238019592269,0.156738151972465,0.156738151972465,0,0
1201,5,651,130.2,7,1.4,9000,881,1.4,130.2,0.000555555555555556,0.0723333333333333,0.0144666666666667,0.000777777777777778,0.000155555555555556
1202,145,56700,391.034482758621,3059,21.0965517241379,1393,22,21.0965517241379,391.034482758621,0.104091888011486,40.7035175879397,0.280713914399584,2.19597989949749,0.0151446889620516
1203,1,202,202,0,0,1592,34,0,202,0.000628140703517588,0.126884422110553,0.126884422110553,0,0
1204,2,291,145.5,3,1.5,172,46,1.5,145.5,0.0116279069767442,1.69186046511628,0.845930232558139,0.0174418604651163,0.00872093023255814
1205,5,1271,254.2,1,0.2,3954,75,0.2,254.2,0.00126454223571067,0.321446636317653,0.0642893272635306,0.000252908447142135,5.05816894284269e-05
1206,30,12670,422.333333333333,371,12.3666666666667,3804,64,12.3666666666667,422.333333333333,0.00788643533123028,3.33070452155626,0.111023484051875,0.0975289169295478,0.00325096389765159
1207,12,2986,248.833333333333,58,4.83333333333333,1985,160,4.83333333333333,248.833333333333,0.00604534005037783,1.50428211586902,0.125356842989085,0.0292191435768262,0.00243492863140218
1208,21,11174,532.095238095238,329,15.6666666666667,440,4,15.6666666666667,532.095238095238,0.0477272727272727,25.3954545454545,1.20930735930736,0.747727272727273,0.0356060606060606
1209,34,10949,322.029411764706,319,9.38235294117647,571,7,9.38235294117647,322.029411764706,0.0595446584938704,19.1751313485114,0.563974451426805,0.558669001751314,0.0164314412279798
1210,4,1140,285,37,9.25,202,6,9.25,285,0.0198019801980198,5.64356435643564,1.41089108910891,0.183168316831683,0.0457920792079208
1211,6,166,27.6666666666667,1,0.166666666666667,519,9,0.166666666666667,27.6666666666667,0.0115606936416185,0.319845857418112,0.0533076429030186,0.00192678227360308,0.000321130378933847
1212,15,2360,157.333333333333,50,3.33333333333333,148,2,3.33333333333333,157.333333333333,0.101351351351351,15.9459459459459,1.06306306306306,0.337837837837838,0.0225225225225225
1213,6,98,16.3333333333333,0,0,5005,307,0,16.3333333333333,0.0011988011988012,0.0195804195804196,0.00326340326340326,0,0
1214,7,3221,460.142857142857,0,0,1834,119,0,460.142857142857,0.00381679389312977,1.75627044711014,0.250895778158592,0,0
1215,2,171,85.5,0,0,682,51,0,85.5,0.00293255131964809,0.250733137829912,0.125366568914956,0,0
1216,20,5701,285.05,239,11.95,2195,15,11.95,285.05,0.00911161731207289,2.59726651480638,0.129863325740319,0.108883826879271,0.00544419134396355
1217,22,1791,81.4090909090909,48,2.18181818181818,394,24,2.18181818181818,81.4090909090909,0.0558375634517767,4.54568527918782,0.206622058144901,0.121827411167513,0.0055376095985233
1218,1,148,148,0,0,841,13,0,148,0.00118906064209275,0.175980975029727,0.175980975029727,0,0
1219,2,56,28,0,0,705,9,0,28,0.00283687943262411,0.0794326241134752,0.0397163120567376,0,0
1220,65,31133,478.969230769231,892,13.7230769230769,429,4,13.7230769230769,478.969230769231,0.151515151515152,72.5710955710956,1.11647839340147,2.07925407925408,0.0319885242962166
1301,15,6482,432.133333333333,180,12,14878,150,12,432.133333333333,0.00100820002688533,0.435676838284716,0.0290451225523144,0.012098400322624,0.000806560021508267
1311,2,417,208.5,6,3,2169,151,3,208.5,0.000922083909635777,0.192254495159059,0.0961272475795297,0.00276625172890733,0.00138312586445367
1321,6,154,25.6666666666667,0,0,4936,282,0,25.6666666666667,0.00121555915721232,0.0311993517017828,0.00519989195029714,0,0
1322,9,684,76,17,1.88888888888889,15870,1152,1.88888888888889,76,0.00056710775047259,0.0431001890359168,0.00478890989287965,0.00107120352867045,0.000119022614296716
1323,3,1267,422.333333333333,83,27.6666666666667,7078,1123,27.6666666666667,422.333333333333,0.000423848544786663,0.179005368748234,0.0596684562494113,0.0117264764057643,0.00390882546858811
1331,6,4283,713.833333333333,156,26,12426,423,26,713.833333333333,0.000482858522452921,0.344680508610977,0.0574467514351628,0.012554321583776,0.00209238693062933
1344,1,3516,3516,117,117,8126,3358,117,3516,0.00012306177701206,0.432685207974403,0.432685207974403,0.014398227910411,0.014398227910411
1346,1,62,62,1,1,8761,302,1,62,0.000114142221207625,0.00707681771487273,0.00707681771487273,0.000114142221207625,0.000114142221207625
1347,1,87,87,3,3,3065,227,3,87,0.00032626427406199,0.0283849918433931,0.0283849918433931,0.000978792822185971,0.000978792822185971
1348,4,7179,1794.75,149,37.25,1015,36,37.25,1794.75,0.00394088669950739,7.07290640394089,1.76822660098522,0.14679802955665,0.0366995073891626
1361,4,38,9.5,0,0,597,26,0,9.5,0.0067001675041876,0.0636515912897822,0.0159128978224456,0,0
1362,65,208717,3211.03076923077,5013,77.1230769230769,11062,263,77.1230769230769,3211.03076923077,0.00587597179533538,18.8679262339541,0.290275788214678,0.453173024769481,0.00697189268876125
1363,1,177,177,3,3,801,74,3,177,0.00124843945068664,0.220973782771536,0.220973782771536,0.00374531835205993,0.00374531835205993
1364,6,3153,525.5,54,9,8640,643,9,525.5,0.000694444444444444,0.364930555555556,0.0608217592592593,0.00625,0.00104166666666667
1365,1,28,28,0,0,1060,115,0,28,0.000943396226415094,0.0264150943396226,0.0264150943396226,0,0
1366,2,140,70,6,3,1105,53,3,70,0.00180995475113122,0.126696832579186,0.0633484162895928,0.00542986425339366,0.00271493212669683
1367,2,118,59,0,0,3482,20,0,59,0.000574382538770821,0.0338885697874785,0.0169442848937392,0,0
1370,4,5172,1293,187,46.75,2270,100,46.75,1293,0.00176211453744493,2.2784140969163,0.569603524229075,0.0823788546255507,0.0205947136563877
1371,8,323,40.375,14,1.75,1854,107,1.75,40.375,0.00431499460625674,0.174217907227616,0.021777238403452,0.0075512405609493,0.000943905070118662
1372,4,339,84.75,27,6.75,14785,278,6.75,84.75,0.000270544470747379,0.0229286438958404,0.00573216097396009,0.00182617517754481,0.000456543794386202
1373,5,355,71,13,2.6,3302,279,2.6,71,0.00151423379769836,0.107510599636584,0.0215021199273168,0.00393700787401575,0.00078740157480315
1374,6,305,50.8333333333333,12,2,915,133,2,50.8333333333333,0.00655737704918033,0.333333333333333,0.0555555555555556,0.0131147540983607,0.00218579234972678
1375,2,27,13.5,1,0.5,2304,49,0.5,13.5,0.000868055555555556,0.01171875,0.005859375,0.000434027777777778,0.000217013888888889
1401,120,8484,70.7,168,1.4,5811,108,1.4,70.7,0.0206504904491482,1.45998967475478,0.0121665806229565,0.0289106866288074,0.000240922388573395
1402,102,8474,83.078431372549,76,0.745098039215686,4020,54,0.745098039215686,83.078431372549,0.0253731343283582,2.10796019900497,0.0206662764608331,0.0189054726368159,0.000185347770949176
1403,8,1917,239.625,105,13.125,3555,41,13.125,239.625,0.00225035161744023,0.539240506329114,0.0674050632911392,0.029535864978903,0.00369198312236287
1404,16,11207,700.4375,199,12.4375,5943,64,12.4375,700.4375,0.00269224297492849,1.88574793875147,0.117859246171967,0.0334847720006731,0.00209279825004207
1405,41,6486,158.19512195122,105,2.5609756097561,2087,45,2.5609756097561,158.19512195122,0.0196454240536655,3.10781025395304,0.0758002500964157,0.0503114518447532,0.00122710858157935
1406,14,714,51,0,0,5007,93,0,51,0.00279608548032754,0.142600359496705,0.0101857399640503,0,0
1407,16,3049,190.5625,3,0.1875,10084,138,0.1875,190.5625,0.00158667195557319,0.302360174533915,0.0188975109083697,0.000297500991669972,1.85938119793733e-05
1501,1,160,160,3,3,3387,140,3,160,0.000295246530853262,0.047239444936522,0.047239444936522,0.000885739592559787,0.000885739592559787
1502,9,18908,2100.88888888889,164,18.2222222222222,5314,534,18.2222222222222,2100.88888888889,0.00169363944298081,3.55814828754234,0.395349809726927,0.0308618742943169,0.00342909714381299
1503,11,216,19.6363636363636,0,0,1796,116,0,19.6363636363636,0.00612472160356347,0.120267260579065,0.0109333873253695,0,0
1504,11,347,31.5454545454545,3,0.272727272727273,1363,55,0.272727272727273,31.5454545454545,0.00807043286867205,0.254585473220836,0.0231441339291669,0.00220102714600147,0.000200093376909224
1505,3,916,305.333333333333,27,9,4553,488,9,305.333333333333,0.000658906215681968,0.201186031188228,0.0670620103960758,0.00593015594113771,0.0019767186470459
1507,31,1289,41.5806451612903,10,0.32258064516129,5578,390,0.32258064516129,41.5806451612903,0.00555754750806741,0.231086410899964,0.00745440035161175,0.00179275726066691,5.78308793763518e-05
1509,20,3863,193.15,55,2.75,8175,737,2.75,193.15,0.00244648318042813,0.472538226299694,0.0236269113149847,0.00672782874617737,0.000336391437308868
1510,33,684,20.7272727272727,1,0.0303030303030303,4402,483,0.0303030303030303,20.7272727272727,0.00749659245797365,0.155383916401636,0.00470860352732229,0.000227169468423444,6.88392328555891e-06
1511,31,2774,89.4838709677419,43,1.38709677419355,2101,23,1.38709677419355,89.4838709677419,0.0147548786292242,1.32032365540219,0.0425910856581351,0.0204664445502142,0.000660207888716587
1630,7,3231,461.571428571429,61,8.71428571428571,17335,118,8.71428571428571,461.571428571429,0.000403807326218633,0.186385924430343,0.0266265606329062,0.00351889241419094,0.000502698916312992
1631,15,680,45.3333333333333,4,0.266666666666667,9836,23,0.266666666666667,45.3333333333333,0.00152501016673444,0.0691337942252948,0.00460891961501966,0.000406669377795852,2.71112918530568e-05
1632,21,894,42.5714285714286,4,0.19047619047619,12422,120,0.19047619047619,42.5714285714286,0.00169054902592175,0.071969087103526,0.00342709938588219,0.00032200933827081,1.53337780128957e-05
1701,8,416,52,24,3,22576,909,3,52,0.000354358610914245,0.0184266477675408,0.00230333097094259,0.00106307583274274,0.000132884479092842
1702,7,82,11.7142857142857,0,0,15375,868,0,11.7142857142857,0.000455284552845528,0.00533333333333333,0.000761904761904762,0,0
1704,5,1021,204.2,41,8.2,4329,157,8.2,204.2,0.00115500115500116,0.235851235851236,0.0471702471702472,0.00947100947100947,0.00189420189420189
1705,2,1169,584.5,88,44,2024,256,44,584.5,0.000988142292490119,0.577569169960474,0.288784584980237,0.0434782608695652,0.0217391304347826
1706,31,446,14.3870967741935,8,0.258064516129032,5828,194,0.258064516129032,14.3870967741935,0.00531914893617021,0.0765271105010295,0.00246861646777515,0.00137268359643102,4.4280116013904e-05
1707,8,1824,228,72,9,9963,670,9,228,0.00080297099267289,0.183077386329419,0.0228846732911774,0.00722673893405601,0.000903342366757001
1708,4,67,16.75,0,0,9258,1833,0,16.75,0.000432058759991359,0.00723698422985526,0.00180924605746381,0,0
1709,12,326,27.1666666666667,2,0.166666666666667,8376,327,0.166666666666667,27.1666666666667,0.00143266475644699,0.0389207258834766,0.00324339382362305,0.000238777459407832,1.98981216173193e-05
1710,3,92,30.6666666666667,0,0,3626,268,0,30.6666666666667,0.000827357970215113,0.0253723110865968,0.0084574370288656,0,0
1711,302,18065,59.817880794702,440,1.45695364238411,27961,1294,1.45695364238411,59.817880794702,0.0108007581989199,0.646078466435392,0.00213933267031587,0.0157362039984264,5.21066357563787e-05
2004,1,4,4,0,0,406,113,0,4,0.00246305418719212,0.00985221674876847,0.00985221674876847,0,0
2014,34,5904,173.647058823529,230,6.76470588235294,937,211,6.76470588235294,173.647058823529,0.0362860192102455,6.30096051227321,0.185322368008036,0.245464247598719,0.00721953669407998
2015,13,5966,458.923076923077,208,16,6094,685,16,458.923076923077,0.00213324581555629,0.978995733508369,0.0753073641160284,0.0341319330489006,0.00262553331145389
2022,1,884,884,13,13,954,327,13,884,0.0010482180293501,0.926624737945493,0.926624737945493,0.0136268343815514,0.0136268343815514
2029,2,946,473,26,13,2204,126,13,473,0.000907441016333938,0.429219600725953,0.214609800362976,0.0117967332123412,0.0058983666061706
2033,14,363,25.9285714285714,23,1.64285714285714,142,55,1.64285714285714,25.9285714285714,0.0985915492957746,2.55633802816901,0.182595573440644,0.161971830985915,0.011569416498994
2049,2,6,3,0,0,253,45,0,3,0.00790513833992095,0.0237154150197628,0.0118577075098814,0,0
2050,1,44,44,0,0,1358,132,0,44,0.000736377025036819,0.03240058910162,0.03240058910162,0,0
2096,12,2004,167,12,1,4973,457,1,167,0.00241303036396541,0.402976070782224,0.033581339231852,0.00241303036396541,0.000201085863663784
2099,2,634,317,5,2.5,2195,108,2.5,317,0.000911161731207289,0.288838268792711,0.144419134396355,0.00227790432801822,0.00113895216400911
2102,1,304,304,1,1,2717,182,1,304,0.000368052999631947,0.111888111888112,0.111888111888112,0.000368052999631947,0.000368052999631947
2121,1,1446,1446,6,6,1445,24,6,1446,0.000692041522491349,1.00069204152249,1.00069204152249,0.0041522491349481,0.0041522491349481
2122,9,731,81.2222222222222,10,1.11111111111111,1711,171,1.11111111111111,81.2222222222222,0.00526008182349503,0.427235534774985,0.0474706149749984,0.00584453535943892,0.000649392817715436
2124,5,1417,283.4,9,1.8,2500,249,1.8,283.4,0.002,0.5668,0.11336,0.0036,0.00072
2125,6,2261,376.833333333333,77,12.8333333333333,20824,872,12.8333333333333,376.833333333333,0.000288129081828659,0.108576642335766,0.0180961070559611,0.00369765655013446,0.000616276091689077
2127,4,373,93.25,3,0.75,NA,NA,0.75,93.25,NA,NA,NA,NA,NA
2134,10,5636,563.6,136,13.6,772,32,13.6,563.6,0.0129533678756477,7.30051813471503,0.730051813471503,0.176165803108808,0.0176165803108808
2135,147,8822,60.0136054421769,80,0.54421768707483,2077,73,0.54421768707483,60.0136054421769,0.0707751564756861,4.24747231584015,0.0288943694955112,0.0385170919595571,0.000262021033738483
2138,18,3008,167.111111111111,31,1.72222222222222,670,12,1.72222222222222,167.111111111111,0.026865671641791,4.48955223880597,0.249419568822554,0.0462686567164179,0.00257048092868988
2149,2,165,82.5,4,2,1517,63,2,82.5,0.001318391562294,0.108767303889255,0.0543836519446276,0.002636783124588,0.001318391562294
2153,1,410,410,0,0,1031,118,0,410,0.000969932104752667,0.397672162948594,0.397672162948594,0,0
2160,1,27,27,0,0,2204,211,0,27,0.000453720508166969,0.0122504537205082,0.0122504537205082,0,0
2162,6,581,96.8333333333333,3,0.5,1225,37,0.5,96.8333333333333,0.00489795918367347,0.474285714285714,0.079047619047619,0.00244897959183673,0.000408163265306122
2196,99,34771,351.222222222222,689,6.95959595959596,37485,4031,6.95959595959596,351.222222222222,0.00264105642256903,0.927597705748966,0.0093696737954441,0.0183806856075764,0.00018566349098562
2198,42,29391,699.785714285714,590,14.047619047619,3102,776,14.047619047619,699.785714285714,0.0135396518375242,9.47485493230174,0.225591784102422,0.190199871050935,0.00452856835835559
2223,1,408,408,0,0,1238,119,0,408,0.000807754442649435,0.329563812600969,0.329563812600969,0,0
2231,1,12,12,0,0,975,158,0,12,0.00102564102564103,0.0123076923076923,0.0123076923076923,0,0
2233,4,222,55.5,7,1.75,2367,198,1.75,55.5,0.00168990283058724,0.0937896070975919,0.023447401774398,0.00295732995352767,0.000739332488381918
2235,1,381,381,14,14,1030,149,14,381,0.000970873786407767,0.369902912621359,0.369902912621359,0.0135922330097087,0.0135922330097087
2254,1,148,148,2,2,3606,888,2,148,0.000277315585135885,0.0410427066001109,0.0410427066001109,0.000554631170271769,0.000554631170271769
2265,1,161,161,5,5,4774,390,5,161,0.000209467951403435,0.0337243401759531,0.0337243401759531,0.00104733975701718,0.00104733975701718
2266,8,170,21.25,0,0,595,198,0,21.25,0.0134453781512605,0.285714285714286,0.0357142857142857,0,0
2275,43,3276,76.1860465116279,109,2.53488372093023,6490,477,2.53488372093023,76.1860465116279,0.00662557781201849,0.504776579352851,0.0117389902175082,0.0167950693374422,0.000390583007847493
2279,2,103,51.5,0,0,607,128,0,51.5,0.00329489291598023,0.169686985172982,0.0848434925864909,0,0
2280,1,10,10,0,0,2033,204,0,10,0.000491883915395967,0.00491883915395967,0.00491883915395967,0,0
2293,4,131,32.75,0,0,7664,249,0,32.75,0.000521920668058455,0.0170929018789144,0.0042732254697286,0,0
2295,8,21,2.625,0,0,3309,231,0,2.625,0.0024176488365065,0.00634632819582956,0.000793291024478694,0,0
2299,23,227,9.8695652173913,2,0.0869565217391304,1944,33,0.0869565217391304,9.8695652173913,0.0118312757201646,0.116769547325103,0.00507693684022186,0.00102880658436214,4.47307210592235e-05
2305,1,6,6,0,0,4006,297,0,6,0.000249625561657514,0.00149775336994508,0.00149775336994508,0,0
2309,34,684,20.1176470588235,0,0,5380,407,0,20.1176470588235,0.00631970260223048,0.127137546468401,0.00373933960201181,0,0
2321,2,973,486.5,20,10,3172,325,10,486.5,0.000630517023959647,0.306746532156368,0.153373266078184,0.00630517023959647,0.00315258511979823
2325,151,133157,881.834437086093,1734,11.4834437086093,6275,131,11.4834437086093,881.834437086093,0.0240637450199203,21.2202390438247,0.14053138439619,0.276334661354582,0.00183003086989789
2336,2,36,18,3,1.5,1347,46,1.5,18,0.00148478099480327,0.0267260579064588,0.0133630289532294,0.0022271714922049,0.00111358574610245
2401,2,467,233.5,0,0,3308,477,0,233.5,0.00060459492140266,0.141172914147521,0.0705864570737606,0,0
2402,3,18,6,0,0,1453,264,0,6,0.00206469373709566,0.012388162422574,0.00412938747419133,0,0
2407,2,1107,553.5,9,4.5,5847,484,4.5,553.5,0.000342055755088079,0.189327860441252,0.094663930220626,0.00153925089789636,0.000769625448948179
2408,13,1082,83.2307692307692,5,0.384615384615385,2040,297,0.384615384615385,83.2307692307692,0.00637254901960784,0.530392156862745,0.0407993966817496,0.00245098039215686,0.000188536953242836
2421,1,679,679,24,24,549,43,24,679,0.00182149362477231,1.2367941712204,1.2367941712204,0.0437158469945355,0.0437158469945355
2428,5,5866,1173.2,103,20.6,2486,70,20.6,1173.2,0.00201126307320998,2.35961383748994,0.471922767497989,0.0414320193081255,0.0082864038616251
2472,2,902,451,37,18.5,935,150,18.5,451,0.00213903743315508,0.964705882352941,0.482352941176471,0.039572192513369,0.0197860962566845
2473,3,967,322.333333333333,3,1,6468,1121,1,322.333333333333,0.000463821892393321,0.149505256648114,0.0498350855493713,0.000463821892393321,0.00015460729746444
2476,1,1187,1187,32,32,3136,417,32,1187,0.000318877551020408,0.378507653061224,0.378507653061224,0.0102040816326531,0.0102040816326531
2477,5,1366,273.2,10,2,919,108,2,273.2,0.00544069640914037,1.48639825897715,0.29727965179543,0.0108813928182807,0.00217627856365615
2478,1,6,6,0,0,1480,233,0,6,0.000675675675675676,0.00405405405405405,0.00405405405405405,0,0
2481,1,99,99,1,1,1430,536,1,99,0.000699300699300699,0.0692307692307692,0.0692307692307692,0.000699300699300699,0.000699300699300699
2491,4,38,9.5,4,1,315,59,1,9.5,0.0126984126984127,0.120634920634921,0.0301587301587302,0.0126984126984127,0.00317460317460317
2500,1,294,294,10,10,6454,847,10,294,0.000154942671211652,0.0455531453362256,0.0455531453362256,0.00154942671211652,0.00154942671211652
2517,2,3061,1530.5,80,40,6096,1085,40,1530.5,0.000328083989501312,0.502132545931758,0.251066272965879,0.0131233595800525,0.00656167979002625
2519,2,268,134,0,0,4936,2668,0,134,0.000405186385737439,0.0542949756888169,0.0271474878444084,0,0
2527,44,26895,611.25,415,9.43181818181818,3405,753,9.43181818181818,611.25,0.0129221732745962,7.89867841409692,0.179515418502203,0.121879588839941,0.00276999065545321
