"BFS_NUMMER","Total number of pictures by municipality","Total number of picture' views by municipality","Average number of picture' views by municipality","Total number of favorited pictures by municipality","Average number of favorited pictures by municipality","Habitants","Densité de la population par km²","total number of favorited / total number of pics by municipality","total number of views / total number of pics by municipality","Total pictures by capita & by municipality","Total picture views by capita & by municipality","Average #views by capita and by municipality","Total favorited pictures by capita & by municipality","Average favorited pictures by capita & by municipality"
178,1,18145,18145,908,908,4160,293,908,18145,0.000240384615384615,4.36177884615385,4.36177884615385,0.218269230769231,0.218269230769231
180,1,13,13,0,0,3211,251,0,13,0.000311429461227032,0.00404858299595142,0.00404858299595142,0,0
181,1,257,257,1,1,1919,209,1,257,0.000521104742053153,0.13392391870766,0.13392391870766,0.000521104742053153,0.000521104742053153
182,6,78,13,0,0,985,93,0,13,0.00609137055837563,0.0791878172588832,0.0131979695431472,0,0
191,81,15304,188.938271604938,101,1.24691358024691,25801,1894,1.24691358024691,188.938271604938,0.00313941320103872,0.593155304057982,0.00732290498837015,0.00391457695438161,4.83281105479211e-05
192,3,31,10.3333333333333,0,0,8296,572,0,10.3333333333333,0.000361620057859209,0.0037367405978785,0.00124558019929283,0,0
193,3,224,74.6666666666667,0,0,8147,1277,0,74.6666666666667,0.000368233705658525,0.0274947833558365,0.00916492778527883,0,0
194,15,4220,281.333333333333,124,8.26666666666667,5308,2288,8.26666666666667,281.333333333333,0.00282592313489073,0.795026375282592,0.0530017583521728,0.0233609645817634,0.00155739763878423
195,16,50007,3125.4375,506,31.625,9728,658,31.625,3125.4375,0.00164473684210526,5.14052220394737,0.321282637746711,0.0520148026315789,0.00325092516447368
196,13,1865,143.461538461538,7,0.538461538461538,3472,457,0.538461538461538,143.461538461538,0.00374423963133641,0.537154377880184,0.0413195675292449,0.00201612903225806,0.000155086848635236
197,1,504,504,19,19,4957,1871,19,504,0.000201734920314706,0.101674399838612,0.101674399838612,0.00383296348597942,0.00383296348597942
198,25,23096,923.84,289,11.56,33097,1160,11.56,923.84,0.000755355470284316,0.697827597667462,0.0279131039066985,0.00873190923648669,0.000349276369459468
199,1,3,3,0,0,18099,1290,0,3,5.52516713630587e-05,0.000165755014089176,0.000165755014089176,0,0
200,1,35,35,0,0,7589,958,0,35,0.000131769666622743,0.00461193833179602,0.00461193833179602,0,0
218,1,1307,1307,2,2,906,180,2,1307,0.0011037527593819,1.44260485651214,1.44260485651214,0.0022075055187638,0.0022075055187638
222,1,2583,2583,58,58,481,55,58,2583,0.00207900207900208,5.37006237006237,5.37006237006237,0.120582120582121,0.120582120582121
228,2,241,120.5,0,0,4350,173,0,120.5,0.000459770114942529,0.0554022988505747,0.0277011494252874,0,0
230,85,19507,229.494117647059,827,9.72941176470588,105676,1552,9.72941176470588,229.494117647059,0.000804345357507854,0.184592528104773,0.00217167680123262,0.00782580718422348,9.20683198143938e-05
231,1,57,57,0,0,5638,435,0,57,0.000177367860943597,0.010109968073785,0.010109968073785,0,0
241,4,21,5.25,0,0,1184,226,0,5.25,0.00337837837837838,0.0177364864864865,0.00443412162162162,0,0
242,4,453,113.25,0,0,6087,533,0,113.25,0.000657138163298834,0.0744208969935929,0.0186052242483982,0,0
246,8,1110,138.75,0,0,2300,833,0,138.75,0.00347826086956522,0.482608695652174,0.0603260869565217,0,0
247,28,2172,77.5714285714286,137,4.89285714285714,17652,2675,4.89285714285714,77.5714285714286,0.00158622252435985,0.123045547246771,0.00439448383024182,0.00776116020847496,0.00027718429315982
248,5,68,13.6,0,0,3928,899,0,13.6,0.00127291242362525,0.0173116089613035,0.00346232179226069,0,0
250,6,29,4.83333333333333,0,0,9526,1257,0,4.83333333333333,0.000629855133319337,0.00304429981104346,0.000507383301840577,0,0
251,2,133,66.5,0,0,4362,814,0,66.5,0.000458505272810637,0.0304906006419074,0.0152453003209537,0,0
261,1813,1034856,570.797573083287,24812,13.6856039713183,384786,4379,13.6856039713183,570.797573083287,0.00471170988549479,2.68943256771296,0.00148341564683561,0.064482595520627,3.55667928960988e-05
301,13,636,48.9230769230769,2,0.153846153846154,4273,540,0.153846153846154,48.9230769230769,0.00304235899836181,0.14884156330447,0.0114493510234208,0.000468055230517201,3.60042485013232e-05
303,1,11,11,0,0,2887,192,0,11,0.000346380325597506,0.00381018358157257,0.00381018358157257,0,0
304,8,13261,1657.625,226,28.25,1911,126,28.25,1657.625,0.00418628990057562,6.93929879644165,0.867412349555207,0.118262689691261,0.0147828362114076
305,5,192,38.4,1,0.2,1353,123,0.2,38.4,0.00369549150036955,0.141906873614191,0.0283813747228381,0.00073909830007391,0.000147819660014782
307,4,639,159.75,8,2,2430,238,2,159.75,0.00164609053497942,0.262962962962963,0.0657407407407407,0.00329218106995885,0.000823045267489712
309,1,48,48,0,0,1224,83,0,48,0.000816993464052288,0.0392156862745098,0.0392156862745098,0,0
